order_id,sale_date,sku,product_name,category,customer_name,region,quantity,unit_price,revenue,cost,sales_rep
ORD-8818441,29/03/2023,SKU-019,Electronics Item SKU-019,electronics,May-Ross,West,30,78.95,2368.5,1162.92,Ms. Michele Jones
ORD-2509635,26/06/2023,SKU-019,Electronics Item SKU-019,Electronics,"Holmes, Williams and Wright",Central,33,1026.77,33883.41,17302.27,Bryan Yates
ORD-2677182,05/22/2023,SKU-026,Food & Beverage Item SKU-026,Food & Beverage,Spence PLC,Central,28,43.78,1225.84,733.94,Lynn Bennett
ORD-5129397,12/31/2023,SKU-020,Food & Beverage Item SKU-020,Food & Beverage,"Ramirez, Strickland and Washington",East,47,50.98,2396.06,1601.87,Nathan Burch
ORD-5537157,04-Sep-2023,SKU-035,Clothing Item SKU-035,Clothing,"Hensley, Powell and David",East,29,141.82,4112.78,1895.75,Francis Robinson
ORD-2184628,21/04/2023,SKU-098,Office Supplies Item SKU-098,Office Supplies,"Washington, Ryan and Cummings",South,82,32.48,2663.36,2598.73,Tanya Shannon
ORD-6996787,03-May-2023,SKU-037,Electronics Item SKU-037,Electronics,Powell LLC,West,1,496.21,496.21,263.72,Brent Green
ORD-5693941,15-Mar-2023,SKU-037,Electronics Item SKU-037,electronics,"Parker, Ortiz and Powell",West,38,931.25,35387.5,22861.59,Lisa Thomas
ORD-3067693,04/02/2023,SKU-006,Furniture Item SKU-006,Furniture,Howell and Sons,North,44,512.2,22536.8,10422.01,Erika Jenkins
ORD-6591646,2023-01-20,SKU-003,Clothing Item SKU-003,Clothing,Harris-Walters,North,1,59.39,59.39,24.47,Pamela Tran
ORD-2062236,2023-01-03,SKU-025,Office Supplies Item SKU-025,Office Supplies,Arnold Ltd,North,44,132.87,5846.28,2691.83,Brittney Conway
ORD-6945304,2023-03-26,SKU-036,Electronics Item SKU-036,Electronics,"Mckee, Gardner and Davenport",East,10,396.02,3960.2,1812.68,Michael Allen
ORD-5951637,01/29/2023,SKU-006,Furniture Item SKU-006,Furniture,Mccarthy Inc,East,24,502.08,12049.92,7013.06,Joshua Howard
ORD-9953454,14/10/2023,SKU-004,Furniture Item SKU-004,Furniture,Torres-Pope,North,3,635.78,,1122.53,Angela Camacho
ORD-6129290,10/16/2023,SKU-033,Furniture Item SKU-033,FURNITURE,Arnold Ltd,North,1,348.78,348.78,143.12,Ronald Lewis
ORD-9505716,24/12/2023,SKU-016,Furniture Item SKU-016,Furniture,"Turner, Riggs and Roman",East,38,260.88,9913.44,4360.29,Kelly Anderson
ORD-2896774,2023-01-18,SKU-019,Electronics Item SKU-019,Electronics,Baxter Inc,South,39,77.26,,1411.32,Nicholas Jarvis
ORD-2639417,27/09/2023,SKU-037,Electronics Item SKU-037,Electronics,Burton Ltd,North,30,550.43,16512.9,,David Cannon
ORD-2673965,11/04/2023,SKU-007,Electronics Item SKU-007,Electronics,Harris-Walters,Central,22,287.31,6320.82,3346.46,Rebecca Moore
ORD-8543762,12/21/2023,SKU-013,Electronics Item SKU-013,Electronics,Harrell LLC,South,48,809.27,38844.96,23933.12,Allison Floyd
ORD-8901107,16/08/2023,SKU-015,Furniture Item SKU-015,Furniture,Jones Inc,Central,48,293.28,14077.44,5927.44,Jasmine Acosta
ORD-3662420,11/18/2023,SKU-029,Furniture Item SKU-029,Furniture,"Hoffman, Baker and Richards",East,7,841.07,5887.49,2453.67,Robert Adams
ORD-8784988,03/10/2023,SKU-016,Furniture Item SKU-016,Furniture,Campbell-Clark,South,20,587.73,11754.6,,Melinda Garcia
ORD-1563010,08/01/2023,SKU-028,Electronics Item SKU-028,Electronics,Bryant Group,West,49,660.59,32368.91,16864.44,Brittany Alvarez
ORD-9569902,02/10/2023,SKU-025,Office Supplies Item SKU-025,office supplies,"Tran, Jordan and Williams",South,29,71.57,2075.53,1059.04,Brian Hampton
ORD-6546744,21/12/2023,SKU-001,Electronics Item SKU-001,electronics,"Miller, Hernandez and Reyes",South,18,520.54,9369.72,5742.16,Robert Hardy
ORD-7831747,09/01/2023,SKU-004,Furniture Item SKU-004,Furniture,"Watts, Robinson and Nguyen",North,42,874.97,36748.74,19383.24,Sheena Lambert
ORD-4419867,27-Sep-2023,SKU-098,Office Supplies Item SKU-098,office supplies,Perez Inc,South,76,19.56,1486.56,1463.43,Calvin Turner
ORD-3066235,14/03/2023,SKU-001,Electronics Item SKU-001,Electronics,Riggs PLC,Central,39,191.72,7477.08,3372.21,Janet Richmond
ORD-2782574,20-Nov-2023,SKU-012,Electronics Item SKU-012,Electronics,"Yates, Ramsey and Pittman",Central,22,747.65,16448.3,7505.2,Michelle Garcia
ORD-3777286,11-Jul-2023,SKU-031,Clothing Item SKU-031,Clothing,Dudley Group,West,5,74.61,373.05,113.13,Amanda Diaz
ORD-6834790,06-Apr-2023,SKU-027,Clothing Item SKU-027,Clothing,"Adams, Christian and Rivas",Central,14,202.54,2835.56,858.24,Vicki Smith
ORD-3319359,20/06/2023,SKU-021,Furniture Item SKU-021,Furniture,Smith-Bell,East,19,648.7,12325.3,6050.91,Melinda Long
ORD-4769851,04-Jun-2023,SKU-012,Electronics Item SKU-012,Electronics,"Miller, Hernandez and Reyes",Central,20,516.99,10339.8,6377.02,Susan Murray MD
ORD-1926920,2023-07-15,SKU-098,Office Supplies Item SKU-098,Office Supplies,Hickman Ltd,West,62,38.21,2369.02,2246.34,Ebony Ferrell
ORD-9067229,2023-09-11,SKU-016,Furniture Item SKU-016,Furniture,Spencer-Lee,Central,47,864.79,40645.13,23633.57,Chad Harrison
ORD-5851810,07/03/2023,SKU-012,Electronics Item SKU-012,electronics,King-Miller,Central,14,189.06,2646.84,1629.92,James Cook
ORD-9194893,23-Jul-2023,SKU-026,Food & Beverage Item SKU-026,Food & Beverage,"Turner, Riggs and Roman",West,3,8.21,24.63,15.42,Jonathan Young
ORD-4830696,18-Apr-2023,SKU-004,Furniture Item SKU-004,FURNITURE,"Hernandez, Thompson and Boyd",East,13,868.33,11288.29,5787.13,Patricia Kim
ORD-5563320,16-Feb-2023,SKU-004,Furniture Item SKU-004,Furniture,Short-Garcia,East,15,347.87,5218.05,2300.88,Ronnie Taylor
ORD-5358025,06/29/2023,SKU-016,Furniture Item SKU-016,Furniture,"Wood, Hunter and Peterson",North,31,402.88,12489.28,6039.14,Nancy Singh
ORD-9446042,08/07/2023,SKU-035,Clothing Item SKU-035,Clothing,,East,14,204.41,2861.74,1000.7,Brandy Roberts
ORD-1633577,2023-08-18,SKU-002,Electronics Item SKU-002,Electronics,White-Green,North,35,812.67,28443.45,14998.36,Lisa George
ORD-3374916,2023-06-15,SKU-019,Electronics Item SKU-019,Electronics,George Group,East,24,1185.88,28461.12,17675.78,Diana Lee
ORD-3633791,07/08/2023,SKU-024,Furniture Item SKU-024,Furniture,Jackson-Lawson,South,33,147.14,4855.62,1988.14,Lee Wood
ORD-8441741,07-Nov-2023,SKU-019,Electronics Item SKU-019,Electronics,Ramirez Group,South,13,972.22,12638.86,6241.08,Bobby Franklin
ORD-5421758,2023-07-08,SKU-006,Furniture Item SKU-006,Furniture,"Evans, Stewart and Walton",Central,42,835.85,35105.7,18689.49,Jacob Schaefer
ORD-1366025,08/07/2023,SKU-017,Food & Beverage Item SKU-017,Food & Beverage,James Group,East,9,52.46,472.14,327.17,Steven Rodgers
ORD-5179188,14/12/2023,SKU-019,Electronics Item SKU-019,ELECTRONICS,Smith-Frost,South,43,1158.96,49835.28,25902.37,John Smith MD
ORD-7225499,12/03/2023,SKU-003,Clothing Item SKU-003,CLOTHING,Blake and Sons,South,46,17.06,784.76,260.33,Amanda Thomas
ORD-1490886,07/14/2023,SKU-035,Clothing Item SKU-035,Clothing,,North,23,36.21,,367.23,Ryan Mcmahon
ORD-5755579,01/10/2023,SKU-038,Office Supplies Item SKU-038,Office Supplies,Williams and Sons,West,21,59.33,1245.93,672.48,Claire Obrien
ORD-4324362,09-Feb-2023,SKU-034,Furniture Item SKU-034,Furniture,Rasmussen LLC,Central,2,739.1,1478.2,,Erica Fisher DDS
ORD-3887946,2023-12-03,SKU-005,Furniture Item SKU-005,Furniture,"Alvarado, Miller and Patterson",Central,28,379.04,10613.12,6258.53,Rebecca Ramirez
ORD-1628491,18/02/2023,SKU-017,Food & Beverage Item SKU-017,FOOD & BEVERAGE,Chapman and Sons,North,23,72.34,1663.82,941.47,John Jones
ORD-4924753,31/12/2023,SKU-037,Electronics Item SKU-037,ELECTRONICS,Walker LLC,North,31,95.69,2966.39,1644.13,Emma Lopez
ORD-1424015,07/22/2023,SKU-038,Office Supplies Item SKU-038,Office Supplies,Diaz Inc,North,34,24.71,840.14,397.41,Joanne Stephenson
ORD-8494353,08/11/2023,SKU-007,Electronics Item SKU-007,ELECTRONICS,Blair PLC,North,47,786.98,36988.06,21109.09,Dr. Michelle Chan DVM
ORD-1609875,01/06/2023,SKU-027,Clothing Item SKU-027,Clothing,Cortez LLC,South,34,80.54,2738.36,910.96,Crystal Ingram
ORD-7662761,2023-11-15,SKU-099,Office Supplies Item SKU-099,OFFICE SUPPLIES,Figueroa PLC,North,70,4.67,326.9,321.18,Matthew Holden
ORD-5602459,2023-01-09,SKU-012,Electronics Item SKU-012,Electronics,Jones-Young,North,22,499.99,10999.78,5279.67,Michael Braun
ORD-5966428,2023-09-11,SKU-010,Food & Beverage Item SKU-010,Food & Beverage,Manning Group,South,25,60.96,,887.87,Anthony Li
ORD-1071876,23/12/2023,SKU-026,Food & Beverage Item SKU-026,Food & Beverage,"Lawson, Morris and Ramos",South,25,45.16,1129.0,689.3,Joshua Roberts
ORD-3285269,05-Aug-2023,SKU-034,Furniture Item SKU-034,Furniture,Burton Ltd,West,12,185.44,2225.28,1319.51,Alisha Lewis
ORD-4810526,08/01/2023,SKU-099,Office Supplies Item SKU-099,OFFICE SUPPLIES,"Sanchez, Wheeler and Harvey",East,92,71.87,,6283.93,Sandra Martinez
ORD-5768227,07/08/2023,SKU-026,Food & Beverage Item SKU-026,FOOD & BEVERAGE,Wright and Sons,Central,25,54.42,1360.5,694.92,Emily Watts
ORD-6612175,06/07/2023,SKU-021,Furniture Item SKU-021,Furniture,"Robinson, Jones and Welch",Central,5,733.19,3665.95,2117.26,Tammy Bryant
ORD-9519865,27/04/2023,SKU-020,Food & Beverage Item SKU-020,Food & Beverage,"Romero, Gonzalez and Brooks",North,43,10.42,448.06,290.71,Michael King
ORD-4783204,17/08/2023,SKU-001,Electronics Item SKU-001,ELECTRONICS,"Hernandez, Thompson and Boyd",Central,8,198.45,1587.6,933.91,Christopher Cervantes
ORD-3288452,16/02/2023,SKU-007,Electronics Item SKU-007,ELECTRONICS,"Tran, Jordan and Williams",South,47,538.51,25309.97,14731.17,Justin Taylor
ORD-6124966,15/11/2023,SKU-021,Furniture Item SKU-021,FURNITURE,"Romero, Gonzalez and Brooks",East,43,591.05,25415.15,14030.03,Mr. Matthew Miller
ORD-8141772,2023-09-13,SKU-016,Furniture Item SKU-016,Furniture,Rodriguez-Johnson,Central,10,154.72,1547.2,853.81,Catherine Garcia
ORD-8115687,08-May-2023,SKU-016,Furniture Item SKU-016,FURNITURE,Gray Group,North,39,533.79,,10825.29,Samantha Wright
ORD-2800796,07/02/2023,SKU-006,Furniture Item SKU-006,furniture,Harrell LLC,East,49,851.46,41721.54,21458.0,Robert Hernandez
ORD-9605960,31-Jan-2023,SKU-001,Electronics Item SKU-001,Electronics,"Woods, Calhoun and Schmidt",Central,29,293.73,8518.17,4518.65,Stacey Deleon
ORD-3595683,06/17/2023,SKU-034,Furniture Item SKU-034,Furniture,"Mcclain, Miller and Henderson",South,11,784.96,8634.56,4163.35,Joe Moore
ORD-8710198,17-Feb-2023,SKU-099,Office Supplies Item SKU-099,Office Supplies,"Watts, Robinson and Nguyen",West,77,6.93,533.61,,Monica Patton
ORD-5662844,2023-02-02,SKU-099,Office Supplies Item SKU-099,Office Supplies,Riggs PLC,East,71,37.87,2688.77,2562.34,Bradley Atkinson
ORD-1782511,09/03/2023,SKU-024,Furniture Item SKU-024,Furniture,Williams PLC,East,45,373.67,16815.15,7669.39,Lori Howard
ORD-3633739,16/03/2023,SKU-037,Electronics Item SKU-037,ELECTRONICS,Robinson-Brock,South,37,1059.75,39210.75,22693.59,Sandra Christensen MD
ORD-4765638,2023-12-25,SKU-013,Electronics Item SKU-013,ELECTRONICS,Jones-Young,East,2,593.49,1186.98,696.63,Brooke Fuentes
ORD-8613430,2023-06-26,SKU-016,Furniture Item SKU-016,Furniture,"Rivera, Johnson and Wiley",West,24,531.28,12750.72,5559.5,Timothy Miller
ORD-2190891,27/06/2023,SKU-001,Electronics Item SKU-001,Electronics,Mccarthy Inc,Central,34,1067.79,36304.86,18213.99,Kelli Lee
ORD-1080743,21-Dec-2023,SKU-099,Office Supplies Item SKU-099,Office Supplies,Novak PLC,Central,45,26.76,1204.2,1157.98,Victor King
ORD-6477774,10-Oct-2023,SKU-032,Clothing Item SKU-032,CLOTHING,Williams-Cook,South,8,134.78,1078.24,524.88,Pamela Robinson
ORD-4937924,2023-05-17,SKU-012,Electronics Item SKU-012,Electronics,"Guzman, Hoffman and Baldwin",Central,38,507.58,19288.04,9163.09,Joshua Gray
ORD-1553932,12/07/2023,SKU-025,Office Supplies Item SKU-025,OFFICE SUPPLIES,Robinson-Brock,South,43,126.57,5442.51,2403.49,Barbara Hall
ORD-5338420,05/25/2023,SKU-022,Food & Beverage Item SKU-022,FOOD & BEVERAGE,"Mcclure, Ward and Lee",East,29,21.41,620.89,418.89,Melanie Smith
ORD-6475691,10/04/2023,SKU-013,Electronics Item SKU-013,Electronics,Nolan-Flynn,Central,16,355.05,5680.8,2876.22,Donald Riddle
ORD-3674757,05/24/2023,SKU-007,Electronics Item SKU-007,Electronics,"Arroyo, Miller and Tucker",South,34,948.89,32262.26,19859.26,Laura Rowland
ORD-6722662,2023-08-25,SKU-022,Food & Beverage Item SKU-022,Food & Beverage,Chapman and Sons,South,28,16.77,469.56,305.58,Renee Shields
ORD-9044494,03/12/2023,SKU-013,Electronics Item SKU-013,ELECTRONICS,"Harris, Collins and Carney",Central,12,336.08,4032.96,2319.21,Laura Chang
ORD-7785074,31-Dec-2023,SKU-009,Electronics Item SKU-009,Electronics,Short-Garcia,North,4,1115.73,4462.92,,Charles Brown
ORD-8604820,15-May-2023,SKU-005,Furniture Item SKU-005,Furniture,Garcia LLC,South,24,895.81,21499.44,12713.93,Sean Newman
ORD-2423756,05/03/2023,SKU-018,Food & Beverage Item SKU-018,Food & Beverage,Dickson-Brady,North,38,37.86,1438.68,892.39,Jessica Lopez
ORD-5352802,07/06/2023,SKU-020,Food & Beverage Item SKU-020,Food & Beverage,"Sanchez, Wheeler and Harvey",West,35,40.73,1425.55,839.11,Anthony Jacobson
ORD-1678433,06/10/2023,SKU-024,Furniture Item SKU-024,furniture,"Rodriguez, Brennan and Garrison",South,14,172.45,2414.3,1116.18,Donald Turner
ORD-4459963,29-Aug-2023,SKU-002,Electronics Item SKU-002,Electronics,"Alvarado, Miller and Patterson",North,18,483.86,8709.48,,Anita Scott
ORD-1912484,02/27/2023,SKU-033,Furniture Item SKU-033,Furniture,Lee-Davis,West,30,704.36,,9780.52,Tara Gamble
ORD-5969420,26-Jul-2023,SKU-012,Electronics Item SKU-012,Electronics,"Edwards, Baker and Anderson",Central,5,185.03,925.15,450.34,Thomas Anderson
ORD-2109227,10/19/2023,SKU-017,Food & Beverage Item SKU-017,Food & Beverage,Bryant Group,Central,24,16.39,393.36,248.11,Jeffrey Ashley
ORD-2926951,2023-02-23,SKU-001,Electronics Item SKU-001,Electronics,Galloway-Wyatt,East,6,761.22,4567.32,2136.86,David Wolf
ORD-2308486,05/13/2023,SKU-025,Office Supplies Item SKU-025,Office Supplies,Hooper PLC,Central,19,102.0,1938.0,742.55,Amy Burton
ORD-6493461,2023-08-26,SKU-015,Furniture Item SKU-015,Furniture,"Woods, Calhoun and Schmidt",South,27,830.09,22412.43,11485.86,Michelle Lee
ORD-9283087,07/01/2023,SKU-010,Food & Beverage Item SKU-010,Food & Beverage,Dudley Group,South,32,73.52,2352.64,1361.96,Rachel Shaw
ORD-8185097,2023-12-23,SKU-038,Office Supplies Item SKU-038,Office Supplies,Spence PLC,West,4,135.9,543.6,205.43,Keith Lambert
ORD-9763038,01/05/2023,SKU-099,Office Supplies Item SKU-099,office supplies,Dudley Group,West,93,45.96,,,Pamela Rivera
ORD-5045279,15/01/2023,SKU-008,Food & Beverage Item SKU-008,Food & Beverage,Johnston-Odonnell,North,37,74.2,2745.4,1876.55,Kenneth Cox
ORD-2234406,14/01/2023,SKU-021,Furniture Item SKU-021,Furniture,"Ramirez, Strickland and Washington",South,47,523.05,24583.35,11446.8,Maurice Moreno
ORD-6701595,06/09/2023,SKU-033,Furniture Item SKU-033,Furniture,Powell LLC,West,11,229.0,2519.0,1021.79,Amber West
ORD-4728964,2023-07-09,SKU-004,Furniture Item SKU-004,Furniture,"Gould, Marshall and Scott",East,33,344.04,11353.32,5087.74,Adam Medina
ORD-7060792,2023-05-16,SKU-035,Clothing Item SKU-035,Clothing,Jones Inc,East,26,26.17,,339.7,Thomas Keith
ORD-2152780,23/11/2023,SKU-031,Clothing Item SKU-031,Clothing,"Hensley, Powell and David",North,41,212.98,8732.18,3209.89,Leah Kennedy
ORD-7636771,11/16/2023,SKU-017,Food & Beverage Item SKU-017,Food & Beverage,"Adams, Christian and Rivas",Central,43,6.74,289.82,202.57,Lucas Gonzalez
ORD-7777894,28/05/2023,SKU-005,Furniture Item SKU-005,Furniture,Harrell LLC,South,21,491.16,10314.36,5751.93,Bryan Sanders
ORD-8913019,2023-05-23,SKU-003,Clothing Item SKU-003,CLOTHING,Baxter Inc,South,26,76.36,1985.36,853.12,Richard Aguilar
ORD-6862008,08-Dec-2023,SKU-019,Electronics Item SKU-019,Electronics,Reid-Poole,Central,29,219.15,6355.35,3578.36,Daniel Rivera
ORD-4974590,30/01/2023,SKU-028,Electronics Item SKU-028,Electronics,Sanders-Espinoza,South,8,331.15,2649.2,1682.04,Charles Keller
ORD-9059505,10/05/2023,SKU-032,Clothing Item SKU-032,CLOTHING,White-Green,South,17,58.15,988.55,477.04,Christopher Butler
ORD-7254970,10/07/2023,SKU-005,Furniture Item SKU-005,furniture,Galloway-Wyatt,West,30,100.72,3021.6,1251.82,Michelle Richard
ORD-7217223,11/30/2023,SKU-034,Furniture Item SKU-034,Furniture,Frazier Inc,West,45,255.16,11482.2,,Douglas Aguilar
ORD-1204695,21/12/2023,SKU-020,Food & Beverage Item SKU-020,Food & Beverage,King-Miller,Central,50,4.48,,124.65,Sarah Logan
ORD-9943029,21/11/2023,SKU-018,Food & Beverage Item SKU-018,Food & Beverage,"Hoffman, Baker and Richards",East,19,69.12,1313.28,729.74,Emily Taylor
ORD-2084091,31-Oct-2023,SKU-032,Clothing Item SKU-032,Clothing,"Hoffman, Baker and Richards",East,5,83.49,417.45,195.1,Andrea Lee
ORD-1462042,2023-07-18,SKU-035,Clothing Item SKU-035,Clothing,"Jackson, Miller and Robertson",North,24,220.07,5281.68,2285.23,Ricardo Wright
ORD-4383032,2023-07-18,SKU-025,Office Supplies Item SKU-025,Office Supplies,"Smith, Gilmore and Johnston",East,15,115.61,1734.15,690.97,Jeremy Clayton
ORD-3784517,22/11/2023,SKU-036,Electronics Item SKU-036,ELECTRONICS,"Martin, Rose and Obrien",North,50,1098.61,54930.5,33219.24,Kaylee Doyle
ORD-9564714,02/16/2023,SKU-020,Food & Beverage Item SKU-020,Food & Beverage,Reed Group,Central,46,5.31,244.26,142.52,Tyler Murray
ORD-3876733,02/20/2023,SKU-008,Food & Beverage Item SKU-008,Food & Beverage,"Woods, Calhoun and Schmidt",West,19,23.49,446.31,272.41,Tracy Ramos
ORD-8327990,05/05/2023,SKU-031,Clothing Item SKU-031,Clothing,"Mitchell, Nelson and Flores",South,16,48.5,776.0,290.23,Samantha Hull
ORD-1411163,07/10/2023,SKU-016,Furniture Item SKU-016,Furniture,Smith-Bowen,North,29,797.13,23116.77,11087.42,Timothy French
ORD-3182395,05/23/2023,SKU-021,Furniture Item SKU-021,furniture,Walker-Jones,South,8,577.93,4623.44,2300.3,Roy Cook
ORD-6678849,04/11/2023,SKU-006,Furniture Item SKU-006,Furniture,Chambers and Sons,South,19,627.88,11929.72,6060.33,Tracy Sims
ORD-5125346,01-Feb-2023,SKU-033,Furniture Item SKU-033,Furniture,Chambers and Sons,East,24,781.77,18762.48,9801.2,Jennifer Pena
ORD-1097397,20-Jun-2023,SKU-015,Furniture Item SKU-015,Furniture,Rasmussen LLC,East,17,243.17,4133.89,2456.72,Andrew Dean
ORD-2224599,2023-05-14,SKU-014,Electronics Item SKU-014,Electronics,Abbott-Munoz,Central,31,674.99,20924.69,13595.73,Austin Baker
ORD-4310946,14-Jun-2023,SKU-023,Office Supplies Item SKU-023,Office Supplies,Hill Inc,East,22,22.26,489.72,215.85,Courtney Calderon
ORD-6437103,06-Apr-2023,SKU-037,Electronics Item SKU-037,Electronics,Johnson-Doyle,Central,8,1157.32,9258.56,4983.66,Lauren Silva
ORD-8387907,02/18/2023,SKU-019,Electronics Item SKU-019,Electronics,"Turner, Riggs and Roman",West,24,1157.57,27781.68,13016.51,Jacqueline Randolph
ORD-1054096,05/28/2023,SKU-022,Food & Beverage Item SKU-022,Food & Beverage,Lewis-Murphy,Central,12,41.53,498.36,335.3,Justin Wilson
ORD-8802571,10-Sep-2023,SKU-036,Electronics Item SKU-036,electronics,Ryan PLC,East,47,530.33,24925.51,11894.91,Jessica Williams
ORD-1270418,08/11/2023,SKU-030,Office Supplies Item SKU-030,Office Supplies,Baker and Sons,South,7,85.06,595.42,,Shannon Gomez
ORD-3018016,10/11/2023,SKU-016,Furniture Item SKU-016,Furniture,Ramirez-Bean,West,41,285.03,11686.23,6965.3,Kim Rivers
ORD-5310948,04/11/2023,SKU-038,Office Supplies Item SKU-038,Office Supplies,Johnson-Rogers,North,48,114.58,5499.84,2586.2,Lori Jordan
ORD-7739827,23/10/2023,SKU-099,Office Supplies Item SKU-099,Office Supplies,Anderson-Bailey,South,94,78.57,7385.58,6951.51,Jane Frank
ORD-7707249,08/01/2023,SKU-019,Electronics Item SKU-019,Electronics,Smith PLC,West,7,63.84,446.88,261.38,Kyle Mills
ORD-7553290,2023-05-25,SKU-099,Office Supplies Item SKU-099,Office Supplies,Abbott-Munoz,South,73,25.43,1856.39,1762.14,Ronald Clark
ORD-1477989,2023-09-27,SKU-004,Furniture Item SKU-004,Furniture,"Turner, Riggs and Roman",North,2,274.49,548.98,253.41,Paul Francis
ORD-6756649,10/01/2023,SKU-031,Clothing Item SKU-031,Clothing,Hill Inc,North,15,71.18,1067.7,476.49,Terry Morales
ORD-1346743,07/31/2023,SKU-029,Furniture Item SKU-029,FURNITURE,Short-Garcia,South,13,511.82,6653.66,3421.04,Julie Curry
ORD-4819276,08/10/2023,SKU-025,Office Supplies Item SKU-025,Office Supplies,"Daniels, Adkins and Brown",North,45,46.82,2106.9,797.95,Dennis Moody
ORD-3963386,06-Oct-2023,SKU-030,Office Supplies Item SKU-030,OFFICE SUPPLIES,Wilkerson-Day,South,48,127.68,6128.64,2788.23,Amanda White
ORD-7261796,09/01/2023,SKU-004,Furniture Item SKU-004,Furniture,"Hoffman, Baker and Richards",North,49,349.1,17105.9,8118.31,Kevin Jackson
ORD-4981854,11/16/2023,SKU-098,Office Supplies Item SKU-098,Office Supplies,"Gould, Marshall and Scott",North,-61,14.55,887.55,864.09,Carlos Dominguez
ORD-6546545,02/10/2023,SKU-018,Food & Beverage Item SKU-018,Food & Beverage,Meadows PLC,West,14,61.03,854.42,532.37,Erin Moore
